Date,IBM,TXN,CSCO,QCOM,ORCL,NOK,AMAT
7/22/2009,93.460136,19.035696,17.590931,39.569988,19.680145,9.136012,11.085464
7/23/2009,94.665077,19.452183,17.959969,38.712433,20.087315,9.367925,11.286258
7/24/2009,95.134117,19.672674,17.943567,38.671593,20.204947,9.276565,11.035267
7/27/2009,95.12603,19.607342,17.910769,37.96104,19.888252,9.220344,11.135663
7/28/2009,94.842995,19.754335,17.984577,37.863045,20.123514,9.241427,11.194226
7/29/2009,94.826805,19.803562,17.812357,37.773205,19.915405,9.136012,11.386655
7/30/2009,95.312035,19.811756,18.025579,37.993725,20.033033,9.143038,11.403388
7/31/2009,95.36866,19.729721,18.05018,37.740536,20.023977,9.374952,11.545617
8/3/2009,96.977913,19.992247,18.509436,38.361256,20.177799,9.501451,11.721312
8/4/2009,96.719139,20.180923,18.402824,37.822216,19.806822,9.374952,11.662745
8/5/2009,95.805313,20.000446,18.181395,37.413849,19.399651,9.332787,11.487052
8/6/2009,95.366592,19.93482,18.296209,37.242336,19.191534,9.29062,11.219328
8/7/2009,96.950897,19.770744,18.1978,37.544525,19.390598,9.29062,11.311359
8/10/2009,96.439064,19.401577,17.74675,37.356686,19.227726,9.283592,11.319723
8/11/2009,95.699715,19.393375,17.361307,37.078991,19.254871,9.192232,11.109632
8/12/2009,96.918404,19.590261,17.574532,37.871204,19.79777,9.269537,11.479394
8/13/2009,97.153992,20.131701,17.640137,38.042728,19.89731,9.248455,11.739909
8/14/2009,96.333435,19.655891,17.476116,37.675194,19.870161,9.157094,11.386953
8/17/2009,94.944122,19.147266,17.000465,36.711472,19.363453,8.749489,11.025595
8/18/2009,95.569702,19.557446,17.230091,36.874825,19.526316,8.791655,11.235687
8/19/2009,96.333435,19.672304,17.418715,37.340347,19.707281,8.679211,11.176862
8/20/2009,96.642174,19.778942,17.951771,38.459263,19.852066,8.608933,11.311319
8/21/2009,97.413986,20.131701,18.1978,38.622589,20.005886,8.777598,11.546624
8/24/2009,96.942772,19.852777,18.09119,38.7206,20.1959,8.77057,11.328129
8/25/2009,96.544685,20.000446,18.041981,38.377583,20.114462,8.868958,11.134844
8/26/2009,97.064629,20.066071,17.984577,38.959549,20.087315,9.22737,11.193671
8/27/2009,97.032173,20.115294,17.943567,38.730042,20.051125,9.578756,11.168458
8/28/2009,96.049072,20.484459,18.041981,38.705448,20.051125,9.740394,11.151651
8/31/2009,95.91095,20.172718,17.713943,38.049706,19.79777,9.845809,11.076019
9/1/2009,94.806015,19.943018,17.361307,37.172638,19.852066,9.360897,10.865928
9/2/2009,94.31855,19.762533,17.672939,37.23003,19.698248,9.346843,10.899544
9/3/2009,94.513535,19.95122,17.623737,36.902157,19.508226,9.775531,11.050807
9/4/2009,95.43158,20.394215,17.910769,37.475937,19.879208,10.105834,11.302918
9/8/2009,95.187851,20.558289,17.976377,37.721832,19.79777,10.408026,11.496201
9/9/2009,94.862885,20.623919,18.230602,37.885765,20.376869,10.562634,11.681081
9/10/2009,95.602211,20.509066,18.870272,38.238228,20.594025,10.661022,11.462585
9/11/2009,95.91095,20.008648,18.935881,38.205452,20.684513,10.499386,11.35334
9/14/2009,96.585289,20.312183,18.689856,37.89397,20.557829,10.618856,11.176862
9/15/2009,96.967178,20.369604,18.845675,37.500519,20.503542,10.935102,11.218883
9/16/2009,98.973938,19.795351,19.157305,37.46772,20.023977,11.244322,11.252496
9/17/2009,99.022667,19.360558,19.181906,36.902157,19.472038,11.040517,10.949964
9/18/2009,99.209541,19.737925,19.190111,36.443127,19.562517,11.03349,10.949964
9/21/2009,98.770798,19.664095,19.378731,36.779198,19.517277,11.068629,10.639029
9/22/2009,98.803307,19.491817,19.198309,36.549686,19.372494,11.012407,11.151651
9/23/2009,98.161476,19.729721,18.698057,36.254597,19.119146,11.012407,11.126442
9/24/2009,98.258965,19.335953,18.575039,36.607067,19.155342,10.597773,10.941558
9/25/2009,98.372704,19.15547,18.550436,36.639854,18.87484,10.576689,11.008788
9/28/2009,96.950897,19.614874,19.362324,37.680847,19.155342,10.710216,11.344934
9/29/2009,96.528419,19.319544,19.108101,37.295586,19.110102,10.337748,11.160056
9/30/2009,97.178383,19.434391,19.304928,36.869362,18.856745,10.274498,11.244092
10/1/2009,95.78907,18.581219,18.935881,35.000488,18.422424,9.895002,10.832311
10/2/2009,96.699043,18.449955,18.59144,33.967686,18.404329,9.796615,10.655837
10/5/2009,97.292145,18.540203,18.81287,34.377522,18.44957,9.944197,10.723067
10/6/2009,98.592072,18.950382,19.149105,34.934906,18.585297,10.133944,11.050807
10/7/2009,99.753914,18.720676,19.362324,34.574238,18.612438,10.105834,10.933155
10/8/2009,99.355797,18.482771,19.411533,33.975876,18.820555,10.119888,10.991982
10/9/2009,102.313141,19.393375,19.706768,34.180794,18.811478,10.323691,11.109632
10/12/2009,103.214973,19.524632,19.50174,34.049652,18.793343,10.457219,11.445781
10/13/2009,103.198715,19.376968,19.591951,33.844734,18.965673,10.527495,11.294515
10/14/2009,104.279297,19.376968,19.993797,34.615231,19.219641,10.815632,11.521414
10/15/2009,103.978683,19.073431,19.985596,34.795559,19.337547,9.613895,11.420569
