,AA,AAPL,GE,IBM,JNJ,MSFT,PEP,SPX,XOM
2/13/91 12:00 AM,4545600,9130800,21925200,7695200,5212800,95491200,3619200,209960000,4972000
2/14/91 12:00 AM,2530400,13493200,33702000,9941600,5688800,133702400,5798200,230750000,6533200
2/15/91 12:00 AM,3423200,13067600,38295600,10955600,14048800,115449600,5814000,228480000,9778000
2/19/91 12:00 AM,1232800,8080800,24819600,9112400,7701600,66560000,3053000,189900000,5122400
2/20/91 12:00 AM,1244000,7646800,19006800,7416800,3738400,52550400,3213800,185680000,4089200
2/21/91 12:00 AM,1404800,6826400,14624400,6262000,4636000,68275200,3078200,180770000,3504800
2/22/91 12:00 AM,3191200,8320800,32697600,9536400,7324800,105340800,5104800,218760000,4560800
2/25/91 12:00 AM,2803200,12848800,27645600,7578800,5144800,88521600,5044000,193820000,3367600
2/26/91 12:00 AM,1900000,8934400,16032000,8908400,4136000,55539200,3325200,164170000,4535600
2/27/91 12:00 AM,2205600,6243200,29922000,8164800,4960000,87670400,2603400,211410000,8460800
2/28/91 12:00 AM,3034400,8120000,16742400,8634000,4644000,55008000,4012600,223010000,5322000
3/1/91 12:00 AM,4031200,4518800,18432000,7432400,4580000,77721600,3110800,221510000,4561200
3/4/91 12:00 AM,2105600,3175600,15454800,4758400,3144000,47020800,3074600,199830000,3571200
3/5/91 12:00 AM,1834400,15769200,24342000,9935600,5007200,76352000,5264000,253700000,3900800
3/6/91 12:00 AM,4365600,18731200,21349200,8124000,15461600,101088000,4779600,262290000,4525600
3/7/91 12:00 AM,1271200,11497600,9591600,4770400,16052800,165388800,4093800,197060000,3378800
3/8/91 12:00 AM,2194400,11522400,18259200,5936000,13842400,134697600,3342600,206850000,4513600
3/11/91 12:00 AM,1354400,6276400,16048800,7217600,6248800,160966400,2638800,161600000,3093200
3/12/91 12:00 AM,1489600,8360000,17487600,8627200,4932800,152883200,3548800,176440000,4721200
3/13/91 12:00 AM,1522400,6253200,14823600,6017600,7467200,110265600,3189400,176000000,5286800
3/14/91 12:00 AM,2588800,8126400,22822800,7779600,11916000,100214400,3689200,232070000,5753200
